	tsk_1112	tsk_1526	tsk_791	tsk_1674	tsk_833	tsk_554	tsk_1752	tsk_1007	tsk_890	tsk_253	tsk_1460	tsk_808	tsk_1188	tsk_429	tsk_1681	tsk_301	tsk_414	tsk_95	tsk_1260	tsk_1393	tsk_1233	tsk_189	tsk_1498	tsk_166	tsk_1551	tsk_780	tsk_498	tsk_1334	tsk_370	tsk_1687	tsk_1020	tsk_988	tsk_1818	tsk_178	tsk_764	tsk_903	tsk_1055	tsk_718	tsk_88	tsk_1740	tsk_1876	tsk_968	tsk_32	tsk_811	tsk_432	tsk_1170	tsk_160	tsk_1514	tsk_994	tsk_702	tsk_1405	tsk_608	tsk_461	tsk_1199	tsk_676	tsk_1648	tsk_51	tsk_849	tsk_1313	tsk_1666	tsk_1421	tsk_270	tsk_1815	tsk_1079	tsk_549	tsk_972	tsk_1731	tsk_372	tsk_1016	tsk_157	tsk_620	tsk_44	tsk_402	tsk_217	tsk_1771	tsk_1329	tsk_915	tsk_238	tsk_465	tsk_982	tsk_511	tsk_1647	tsk_8	tsk_1130	tsk_1365	tsk_167	tsk_1760	tsk_563	tsk_229	tsk_1219	tsk_864	tsk_159	tsk_1059	tsk_567	tsk_1813	tsk_1030	tsk_613	tsk_1490	tsk_733	tsk_716
0	0.00072174	0.000794195	0.00074073	0.00082714	0.000722255	0.000706425	0.00079882	0.00086729	0.00080238	0.000892515	0.00081471	0.000707565	0.00080592	0.00082461	0.00079368	0.000770015	0.000853685	0.000782645	0.000757605	0.00085666	0.000752805	0.000770595	0.00078984	0.00056419	0.00074542	0.00085255	0.00081625	0.000713435	0.00076016	0.000737995	0.00072987	0.000713995	0.00074443	0.00069844	0.00079403	0.000835055	0.00076074	0.000864	0.00086646	0.00086546	0.000783245	0.00082948	0.00070673	0.000662625	0.00061936	0.00065317	0.000823295	0.00077648	0.000822145	0.00082018	0.000878005	0.00076986	0.00079209	0.00075746	0.00079751	0.000775875	0.000825665	0.000829255	0.000745075	0.000789525	0.000790355	0.00085946	0.00085233	0.00079836	0.000831885	0.000866135	0.000739565	0.00080823	0.000809715	0.00081742	0.0007843	0.00081721	0.000906085	0.0007703	0.00087319	0.000823305	0.000918985	0.00069937	0.00081218	0.000933515	0.00080478	0.000741045	0.000823225	0.000794585	0.00070586	0.00079869	0.00077218	0.000829255	0.000724145	0.00076783	0.000879625	0.00073729	0.00068156	0.00080387	0.00082866	0.000662785	0.000745455	0.00081411	0.00079458	0.00087466
1	0.000794195	0.00075079	0.000843425	0.000793745	0.000752305	0.00085279	0.000793315	0.000704655	0.000910035	0.00085703	0.00088292	0.0007989	0.000852195	0.000820495	0.00080555	0.00058849	0.000855105	0.000820245	0.00083564	0.000692355	0.00076294	0.00089091	0.00081997	0.000782285	0.000615975	0.000729305	0.0008183	0.00087087	0.00082146	0.000612325	0.00084591	0.000821065	0.00082267	0.000777485	0.00089792	0.00086517	0.0008519	0.0007452	0.0009179	0.00078161	0.00089486	0.00076595	0.00085889	0.00075789	0.000872365	0.000794975	0.00087109	0.00076124	0.00087949	0.00086828	0.00074441	0.000696545	0.000856395	0.000837305	0.000780795	0.00073152	0.000887785	0.000894615	0.000863865	0.000842035	0.000776445	0.000866395	0.00084816	0.00087409	0.000875145	0.000856825	0.000857915	0.00089277	0.00089078	0.00084547	0.00065424	0.000861435	0.000899895	0.0008142	0.000859315	0.000823605	0.000884895	0.00086553	0.000871925	0.000775255	0.000828415	0.000801525	0.00093845	0.00085981	0.00072054	0.000883765	0.000812745	0.000894655	0.00085731	0.000795785	0.000900755	0.00079482	0.000834175	0.00067545	0.00082007	0.000831015	0.000699615	0.000818365	0.0008034	0.000752255
2	0.00074073	0.000843425	0.00070145	0.000876635	0.00074322	0.000735575	0.000889045	0.000855165	0.000768305	0.000798485	0.000695855	0.000735155	0.00081784	0.00084985	0.00083537	0.00086075	0.00077346	0.000809305	0.00081424	0.00091083	0.000724725	0.00081385	0.00076179	0.00070658	0.00077713	0.000800615	0.00081503	0.00070855	0.00078101	0.00080839	0.000731645	0.00077418	0.00075016	0.00073718	0.000803315	0.00081108	0.000734445	0.00089549	0.00086207	0.000886285	0.000766005	0.000829455	0.000624985	0.000733795	0.000776765	0.000772885	0.00077205	0.000796725	0.00075364	0.00078488	0.000869815	0.000825375	0.00076939	0.000762265	0.000822125	0.000783625	0.00082777	0.00075665	0.000819445	0.000850925	0.000799535	0.0007813	0.000846535	0.000748635	0.000717155	0.00075332	0.000830145	0.000781295	0.000774375	0.000788415	0.000860505	0.00084677	0.000850485	0.00071516	0.00088091	0.0007761	0.000847705	0.00070363	0.000841135	0.000930805	0.00079507	0.000743405	0.00078848	0.00079069	0.000731655	0.000698895	0.0008405	0.00075618	0.00072061	0.00071929	0.00080813	0.0007635	0.000677415	0.000839305	0.0008698	0.000786035	0.00079173	0.00086003	0.000774265	0.000881635
3	0.00082714	0.000793745	0.000876635	0.0005168	0.00079954	0.00088037	0.000499215	0.00082434	0.00081379	0.0008375	0.000892835	0.000701135	0.000901575	0.00078619	0.00057242	0.000711805	0.00084936	0.000854265	0.000683045	0.00077165	0.000824945	0.000830905	0.000692325	0.00083525	0.000713215	0.00074424	0.000738815	0.000829445	0.000828975	0.000736905	0.0008959	0.00077507	0.000821645	0.000816165	0.000716955	0.00079752	0.00087048	0.00082847	0.000866	0.00055002	0.00087591	0.00082336	0.000918105	0.00079098	0.00087621	0.000896925	0.000865255	0.00075667	0.00090376	0.00084318	0.00081979	0.00064371	0.00082101	0.00087155	0.000740035	0.000815185	0.00083736	0.00086759	0.000648575	0.000610425	0.00075319	0.000885035	0.00079797	0.00087976	0.00089068	0.00086567	0.00061883	0.000902885	0.000861345	0.00081613	0.00072442	0.000794295	0.00085683	0.000862495	0.000512215	0.000855005	0.00088214	0.00084827	0.00075793	0.000803975	0.00081536	0.000848415	0.00090092	0.00090038	0.000815625	0.000880455	0.000506185	0.00086763	0.00081151	0.000828125	0.00084773	0.000813875	0.000882355	0.000798025	0.000477275	0.00089406	0.000715045	0.000715975	0.00077356	0.000819555
4	0.000722255	0.000752305	0.00074322	0.00079954	0.000437	0.000700245	0.000783135	0.00087178	0.000752795	0.000894625	0.00080324	0.00070655	0.00084504	0.00075784	0.00080564	0.00083825	0.000730705	0.000638235	0.0008712	0.0008208	0.000570825	0.000865805	0.000650815	0.00073847	0.000757295	0.00083333	0.000763235	0.00074718	0.00059708	0.000770555	0.000667725	0.000779065	0.0006965	0.00049469	0.00081298	0.000868235	0.00069453	0.00087408	0.00073478	0.00079996	0.00078149	0.000863495	0.000655635	0.000428825	0.000787075	0.000698315	0.000639015	0.00075023	0.0007075	0.000826515	0.000853505	0.000745295	0.00072973	0.00086248	0.00078217	0.000553905	0.000796655	0.000731075	0.00090358	0.00085845	0.000906015	0.000894195	0.00084276	0.00070379	0.000623045	0.00089244	0.000863975	0.000735075	0.000662555	0.000866095	0.000841425	0.0007571	0.00075431	0.000713295	0.000852195	0.00057691	0.00090477	0.00065305	0.00086088	0.000901265	0.00077078	0.00052025	0.000810935	0.00068688	0.00046258	0.000697425	0.000813745	0.000729615	0.000578305	0.000560625	0.000944275	0.00065803	0.00059761	0.00078621	0.000783445	0.000728865	0.00074697	0.000833145	0.00072962	0.000874945
5	0.000706425	0.00085279	0.000735575	0.00088037	0.000700245	0.00061626	0.00087971	0.00093341	0.000755485	0.00080891	0.00075554	0.00071036	0.000905145	0.000785455	0.000835005	0.000905945	0.000645695	0.000568085	0.00086997	0.00092085	0.00084997	0.00081982	0.000831045	0.000741895	0.000810375	0.00083205	0.00085971	0.000705185	0.00074142	0.00075678	0.00078946	0.00084112	0.00071498	0.00061967	0.000892615	0.000827125	0.000577485	0.000924015	0.00061418	0.000879265	0.000691235	0.000764245	0.00058401	0.000763265	0.000390985	0.00078475	0.000690825	0.00084693	0.000824085	0.00066672	0.000936975	0.00080776	0.00073021	0.00087198	0.000814295	0.000856785	0.000641915	0.00059106	0.00086189	0.00088528	0.00086004	0.00074273	0.000864205	0.000797875	0.000606425	0.000659135	0.000864495	0.000538285	0.00067561	0.000704165	0.000900415	0.00075435	0.000680035	0.00080584	0.000931985	0.000819375	0.00080343	0.000742985	0.00089544	0.000952855	0.00080172	0.000818545	0.000652875	0.000667565	0.00078685	0.00052668	0.000850305	0.0005932	0.00068194	0.000765215	0.00083314	0.00067774	0.00075389	0.000850885	0.000881445	0.000577845	0.000807465	0.00090465	0.00079938	0.00091022
6	0.00079882	0.000793315	0.000889045	0.000499215	0.000783135	0.00087971	0.00075307	0.000819625	0.000817085	0.000812235	0.000844015	0.00077275	0.00093222	0.00079976	0.000584585	0.000708355	0.00084867	0.000846005	0.000632785	0.000682655	0.000824315	0.00086723	0.00073152	0.000803975	0.000701725	0.000768245	0.00073697	0.000828825	0.000792125	0.000760715	0.00089178	0.000776915	0.00078793	0.00083413	0.00072658	0.000791	0.000854345	0.000812085	0.00085944	0.00054114	0.000811895	0.00080497	0.000874	0.000780395	0.000877295	0.000904115	0.00085818	0.00070449	0.000840945	0.00082578	0.000810265	0.00064884	0.00083524	0.000885145	0.000684925	0.000801305	0.00082999	0.000861495	0.000683935	0.00059861	0.000752015	0.000844605	0.00076659	0.000847345	0.00087004	0.00086438	0.00058695	0.00087361	0.000882895	0.0008014	0.000687415	0.00078319	0.000856485	0.000796995	0.00058575	0.000790845	0.000859605	0.00085681	0.00074703	0.00077266	0.000774945	0.00082106	0.00084978	0.00088262	0.000766485	0.000872915	0.000560475	0.000861495	0.000832475	0.000804115	0.000816115	0.00081005	0.000860895	0.00078328	0.00054968	0.00087705	0.000737315	0.00071175	0.000778685	0.000812245
7	0.00086729	0.000704655	0.000855165	0.00082434	0.00087178	0.00093341	0.000819625	1.84e-06	0.00097736	0.000654655	0.000775675	0.00090033	0.00087769	0.00089525	0.000875585	0.00081304	0.000922045	0.00092596	0.000862485	0.00068275	0.00083067	0.000956385	0.000879125	0.000877245	0.000677535	0.00065073	0.00064549	0.00093115	0.000907395	0.000737125	0.00095525	0.000879555	0.000810815	0.00091975	0.00095977	0.000798025	0.000944485	0.000482605	0.000923275	0.000812	0.00088375	0.00070854	0.000984135	0.000851245	0.0009902	0.000857365	0.000982525	0.00076157	0.000959675	0.00091234	0.000157695	0.000754085	0.000943465	0.00082301	0.00062175	0.00080156	0.000899755	0.00094006	0.000832675	0.000849515	0.00074928	0.00086901	0.00075379	0.000959605	0.00097078	0.00089921	0.00091625	0.00096854	0.00095701	0.0008771	0.000643795	0.00089543	0.00089921	0.000898075	0.000807535	0.00092254	0.000832845	0.000935515	0.000732295	0.000586275	0.000891445	0.00082321	0.00096771	0.001017195	0.000862735	0.000963485	0.0008529	0.00094006	0.00093779	0.00088315	0.00087038	0.000947025	0.00092459	0.000488935	0.000719065	0.00093884	0.00078066	0.0008379	0.00075982	0.000527715
8	0.00080238	0.000910035	0.000768305	0.00081379	0.000752795	0.000755485	0.000817085	0.00097736	0.00047984	0.0007935	0.000736795	0.000754955	0.00089393	0.00064918	0.00082049	0.00085351	0.00078432	0.000750685	0.00080493	0.00092049	0.00080456	0.000691175	0.000758145	0.000733945	0.000825005	0.000830795	0.000877935	0.00076178	0.000728905	0.00087627	0.0007826	0.00078916	0.000824515	0.00064314	0.00069572	0.000770985	0.000564105	0.00087077	0.000774645	0.000830245	0.000725095	0.00075604	0.000688345	0.00075933	0.00079054	0.00081896	0.000736165	0.000848485	0.000852745	0.00070502	0.000970585	0.00082065	0.000842585	0.00089766	0.00082578	0.00080663	0.0007335	0.000498285	0.00080035	0.00079379	0.000801455	0.0007157	0.000794735	0.000835375	0.000626815	0.0007435	0.00075444	0.0007045	0.000740435	0.00075745	0.000871585	0.000738155	0.00082905	0.00082525	0.00085591	0.00076901	0.000802985	0.000785765	0.000856755	0.000886305	0.00077176	0.000791025	0.000752185	0.000752305	0.000760925	0.00065177	0.00078505	0.000495085	0.000592835	0.000747925	0.000786355	0.00080197	0.000575875	0.000851155	0.000818025	0.000702845	0.000861915	0.00084746	0.00081054	0.00087979
9	0.000892515	0.00085703	0.000798485	0.0008375	0.000894625	0.00080891	0.000812235	0.000654655	0.0007935	0.00062259	0.00067419	0.000844965	0.000850305	0.000824065	0.00082893	0.000835005	0.00081318	0.000878365	0.00081231	0.00074824	0.000920095	0.00085936	0.000837675	0.00079006	0.000800965	0.000712795	0.00061819	0.00085814	0.000821325	0.000809575	0.00091781	0.000858305	0.000874155	0.000872635	0.000842025	0.000772465	0.000789765	0.00070898	0.00085906	0.000777155	0.000736125	0.000753055	0.000813575	0.00088456	0.000830975	0.00085808	0.00085414	0.000796685	0.00088811	0.000766615	0.000664945	0.000776865	0.00087317	0.000872475	0.0006227	0.00088031	0.000782185	0.000765325	0.000791935	0.00080327	0.00078613	0.00068312	0.0007186	0.00089842	0.000812565	0.00069256	0.000817815	0.000812495	0.00088385	0.00067789	0.000621335	0.00087219	0.00085448	0.00083879	0.000799855	0.000896955	0.00056187	0.00089179	0.000769095	0.00068291	0.00083528	0.000873505	0.00081698	0.00087994	0.00090598	0.00076615	0.00083482	0.00076648	0.000887785	0.00089991	0.00066009	0.000865185	0.00086439	0.000758105	0.000704105	0.000858455	0.000851355	0.000784135	0.00078705	0.000697275
